   Field  Tile         RA        Dec Size
  LMC_c43  T04  79.412187 -70.703418 0.67
  LMC_c43  T05  81.001322 -72.368406 0.67
  LMC_c43  T06  81.027816 -71.818466 0.67
  LMC_c43  T07  81.052806 -71.268523 0.67
  LMC_c43  T08  81.076419 -70.718577 0.67
  LMC_c43  T09  82.817011 -72.368406 0.67
  LMC_c43  T10  82.790517 -71.818466 0.67
  LMC_c43  T11  82.765528 -71.268523 0.67
  LMC_c43  T12  82.741914 -70.718577 0.67
  LMC_c43  T13  84.631057 -72.351881 0.67
  LMC_c43  T14  84.551717 -71.802423 0.67
  LMC_c43  T15  84.476875 -71.252934 0.67
  LMC_c43  T16  84.406146 -70.703418 0.67
  LMC_c45  T01  81.587032  -69.24119 0.67
  LMC_c45  T02  81.644211 -68.691573 0.67
  LMC_c45  T03  81.698645 -68.141937 0.67
  LMC_c45  T04  81.750537 -67.592285 0.67
  LMC_c45  T05  83.138681 -69.255045 0.67
  LMC_c45  T06  83.157765 -68.705088 0.67
  LMC_c45  T07  83.175932 -68.155128 0.67
  LMC_c45  T08  83.193249 -67.605167 0.67
  LMC_c45  T09  84.691319 -69.255045 0.67
  LMC_c45  T10  84.672235 -68.705088 0.67
  LMC_c45  T11  84.654068 -68.155128 0.67
  LMC_c45  T12  84.636751 -67.605167 0.67
  LMC_c45  T13  86.242968  -69.24119 0.67
  LMC_c45  T14  86.185789 -68.691573 0.67
  LMC_c45  T15  86.131355 -68.141937 0.67
  LMC_c45  T16  86.079463 -67.592285 0.67
  LMC_c47  T01  82.680853 -70.876451 0.67
  LMC_c47  T02  82.748355 -70.326908 0.67
  LMC_c47  T03  82.812329 -69.777341 0.67
  LMC_c47  T04  82.873056 -69.227752 0.67
  LMC_c47  T05   84.35958 -70.891605 0.67
  LMC_c47  T06  84.382115 -70.341656 0.67
  LMC_c47  T07   84.40347 -69.791704 0.67
  LMC_c47  T08   84.42374  -69.24175 0.67
  LMC_c47  T09  86.039586 -70.891605 0.67
  LMC_c47  T10  86.017052 -70.341656 0.67
  LMC_c47  T11  85.995697 -69.791704 0.67
  LMC_c47  T12  85.975427  -69.24175 0.67
  LMC_c47  T13  87.718313 -70.876451 0.67
  LMC_c47  T14  87.650812 -70.326908 0.67
  LMC_c47  T15  87.586838 -69.777341 0.67
  LMC_c47  T16  87.526111 -69.227752 0.67
  LMC_c48  T01   83.28909 -67.765775 0.67
  LMC_c48  T02  83.338819 -67.216105 0.67
  LMC_c48  T03  83.386327  -66.66642 0.67
  LMC_c48  T04  83.431768 -66.116721 0.67
  LMC_c48  T05  84.742487 -67.778617 0.67
  LMC_c48  T06  84.759082 -67.228653 0.67
  LMC_c48  T07  84.774934 -66.678688 0.67
  LMC_c48  T08  84.790097 -66.128722 0.67
  LMC_c48  T09   86.19668 -67.778617 0.67
  LMC_c48  T10  86.180085 -67.228653 0.67
  LMC_c48  T11  86.164232 -66.678688 0.67
  LMC_c48  T12   86.14907 -66.128722 0.67
  LMC_c48  T13  87.650077 -67.765775 0.67
  LMC_c48  T14  87.600348 -67.216105 0.67
  LMC_c48  T15  87.552839  -66.66642 0.67
  LMC_c48  T16  87.507398 -66.116721 0.67
  LMC_c49  T01  83.376156 -72.657807 0.67
  LMC_c49  T02   83.45833  -72.10837 0.67
  LMC_c49  T03  83.535763   -71.5589 0.67
  LMC_c49  T04  83.608866   -71.0094 0.67
  LMC_c49  T05  85.221196 -72.674644 0.67
  LMC_c49  T06  85.248638 -72.124707 0.67
  LMC_c49  T07  85.274494 -71.574766 0.67
  LMC_c49  T08  85.298902 -71.024821 0.67
  LMC_c49  T09  87.067971 -72.674644 0.67
  LMC_c49  T10  87.040528 -72.124707 0.67
  LMC_c49  T11  87.014672 -71.574766 0.67
